id	title	link	price	condition	BRAND	mpn	shipping_weight	image_link	product_type	availability	description	"Google product category"	gtin
101-900	"Ratcheting Crimping Tool for Solderless Crimp Terminals"	http://www.cmlsupply.com/ratcheting-crimping-tool-for-solderless-crimp-terminals.html	18.99	New	"CML Supply"	101-900	1.0000	http://www.cmlsupply.com/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/1/0/101-900.jpg	"Business & Industrial"	"In Stock"	"<p>If you have ever been frustrated using a non-ratcething style crimper, you need this tool!</p>
<p>Ratchet crimper for blue, yellow, red insulated and non-insulated connectors.</p>
<ul>
    <li>Designed for 10 to 22 gauge wire</li>
    <li>High carbon steel jaws and handles with black oxide finish and ABS grip sleeves</li>
    <li>3/4&quot; jaw opening</li>
    <li>Color-coded head for different wire sizes</li>
    <li>Adjustable compression setting</li>
    <li>Up/down ratchet lock</li>
    <li>For insulated and bare terminals</li>
</ul>
<p>ship weight: 1.25 pounds</p>
<p>Warranty: 30 days money back or exchange.</p>"	"Hardware > Tools > Wire & Cable Tools > Wire Crimpers"	792363974202
151-004	"Impact Socket Set 1/2"" SAE MM Deep Well Combo Pak 24 pcs"	http://www.cmlsupply.com/impact-socket-set-1-2-sae-mm-deep-well-combo-pak-24-pcs.html	34.99	New	"Michigan Industrial Tools"	151-004	5.0000	http://www.cmlsupply.com/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/1/5/151-004.jpg	"Business & Industrial"	"In Stock"	"<p>24pc Heavy Duty Inch/Millimeter Combo Set with Case.</p>
<p>Specs:</p>
<ul>
    <li>Drop Forged, Heat Treated Carbon Steel Construction</li>
    <li>Opti-Drive Socket Design Contacts Only Flat Surfaces of Fastener Head to Eliminate Rounding Off Corners</li>
    <li>6-Point Socket End with Beveled Nose to Help Guide Socket Onto Fastener</li>
    <li>Durable Black Oxide Finish Resists Corrosion</li>
    <li>Hole on Socket Locks on to Drive Tang, Keeps Socket from Slipping Off or Sticking to Fastener</li>
</ul>
<p>Combo Pack Includes:</p>
<ul>
    <li>11-pc. 1/2&quot; Dr. SAE: 3/8, 7/16, 1/2, 9/16, 5/8, 11/16, 3/4, 13/16, 7/8, 15/16, 1&quot;</li>
    <li>11-pc. 1/2&quot; Dr. MM: 10, 11, 12, 13, 15, 17, 18, 19, 21, 22, 24mm</li>
    <li>Molded Plastic Case for each set</li>
</ul>
<p>Warranty: MIT Tools have a 30-day satisfaction guarantee directly through us, and a LIFETIME warranty directly through Michigan Industrial Tools.</p>
<p>Ship Weight: 10 lbs. (Note: Shipping is discounted 25% on this item!)</p>
<p><img width=""120"" border=""0"" align=""middle"" alt=""Michigan Industrial Tools"" src=""http://www.cmlsupply.com/mitlogosm.jpg"" /></p>"	"Hardware > Tools > Impact Wrenches & Drivers"	
151-012	"Impact Socket Set Inch MM 1/2"" Shallow Value Pak 22 pcs"	http://www.cmlsupply.com/impact-socket-set-inch-mm-1-2-shallow-value-pak-22-pcs.html	28.99	New	"Michigan Industrial Tools"	151-012	5.0000	http://www.cmlsupply.com/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/1/5/151-012.jpg	"Business & Industrial"	"In Stock"	"<p>22pc Heavy Duty Inch/Millimeter Shallow Combo Set with Case.</p>
<p><strong>Specs:</strong></p>
<ul>
    <li>Drop Forged, Heat Treated Chrome Vanadium Steel Construction</li>
    <li>Opti-Drive Socket Design Contacts Only Flat Surfaces of Fastener Head to Eliminate Rounding Off Corners</li>
    <li>6-Point Socket End with Beveled Nose to Help Guide Socket Onto Fastener</li>
    <li>Durable Black Oxide Finish Resists Corrosion</li>
    <li>Hole on Socket Locks on to Drive Tang, Keeps Socket from Slipping Off or Sticking to Fastener</li>
    <li>Pro Grade Tools meets or Exceeds ANSI spec B107.2</li>
</ul>
<p><strong>Combo Pack Includes:</strong></p>
<ul>
    <li>10-pc. 1/2&quot; Dr. SAE: 7/16, 1/2, 9/16, 5/8, 11/16, 3/4, 13/16, 7/8, 15/16, 1&quot;</li>
    <li>10-pc. 1/2&quot; Dr. MM: 11, 12, 13, 15, 17, 18, 19, 21, 22, 24mm</li>
    <li>Molded Plastic Case for each set</li>
</ul>
<p>Warranty: 30 Days Money back or exchange through us, and LIFETIME Limited Warranty through Michigan Industrial Tools.</p>
<p>Ship Weight: 5 lbs. (NOte: Shipping is discounted 15% on this item!)</p>
<p><img height=""60"" border=""0"" alt=""MIT"" src=""http://www.cmlsupply.com/mitlogosm.jpg"" /></p>"	"Hardware > Tools > Impact Wrenches & Drivers"	
151-022	"Impact Socket Set Inch MM 3/8"" Deep Well Value Pak 18 pcs"	http://www.cmlsupply.com/impact-socket-set-inch-mm-3-8-deep-well-value-pak-18-pcs.html	19.99	New	"Michigan Industrial Tools"	151-022	5.0000	http://www.cmlsupply.com/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/1/5/151-022.jpg	"Business & Industrial"	"In Stock"	"<h2>Heavy Duty 3/8&quot; Drive Inch / Millimeter Combo Set</h2>
<ul>
    <li>Drop Forged, Heat Treated Carbon Steel Construction</li>
    <li>Opti-Drive Socket Design Contacts Only Flat Surfaces of Fastener Head to Eliminate Rounding Off Corners</li>
    <li>6-Point Socket End with Beveled Nose to Help Guide Socket Onto Fastener</li>
    <li>Durable Black Oxide Finish Resists Corrosion</li>
    <li>Hole on Socket Locks on to Drive Tang, Keeps Socket from Slipping Off or Sticking to Fastener</li>
</ul>
<p>Combo Pack Includes:</p>
<ul>
    <li>8-pc. 3/8&quot; Dr. SAE: 3/8, 7/16, 1/2, 9/16, 5/8, 11/16, 3/4, 13/16&quot;</li>
    <li>8-pc. 3/8&quot; Dr. MM: 10, 11, 12, 13, 15, 17, 18, 19mm</li>
    <li>Molded Plastic Case for each set</li>
</ul>
<p>Warranty: MIT Tools have a 30-day satisfaction guarantee directly through us, and a LIFETIME warranty directly through Michigan Industrial Tools.</p>
<p>Ship Weight: 5 lbs. (Note: Shipping is discounted 25% on this item!)</p>
<p><img border=""0"" align=""middle"" width=""120"" alt=""Michigan Industrial Tools"" src=""http://www.cmlsupply.com/mitlogosm.jpg"" /></p>"	"Hardware > Tools > Impact Wrenches & Drivers"	
151-032	"Impact Socket Set Inch MM 3/8"" Shallow Value Pak 18 pcs"	http://www.cmlsupply.com/impact-socket-set-inch-mm-3-8-shallow-value-pak-18-pcs.html	16.99	New	"Michigan Industrial Tools"	151-032	4.0000	http://www.cmlsupply.com/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/1/5/151-032.jpg	"Business & Industrial"	"In Stock"	"<p>18pc Heavy Duty Inch/Millimeter Shallow Combo Set with Case.</p>
<p><strong>Specs:</strong></p>
<ul>
    <li>Drop Forged, Heat Treated Chrome Vanadium Steel Construction</li>
    <li>Opti-Drive Socket Design Contacts Only Flat Surfaces of Fastener Head to Eliminate Rounding Off Corners</li>
    <li>6-Point Socket End with Beveled Nose to Help Guide Socket Onto Fastener</li>
    <li>Durable Black Oxide Finish Resists Corrosion</li>
    <li>Hole on Socket Locks on to Drive Tang, Keeps Socket from Slipping Off or Sticking to Fastener</li>
    <li>Pro Grade Tools meets or Exceeds ANSI spec B107.2</li>
</ul>
<p><strong>Combo Pack Includes:</strong></p>
<ul>
    <li>8-pc. 3/8&quot; Dr. SAE: 5/16, 3/8, 7/16, 1/2, 9/16, 5/8, 11/16, 3/4&quot;</li>
    <li>8-pc. 3/8&quot; Dr. MM: 10, 11, 12, 13, 15, 17, 18, 19mm</li>
    <li>Molded Plastic Case for each set</li>
</ul>
<p>Warranty: 30 Days Money back or exchange through us, and LIFETIME Limited Warranty through Michigan Industrial Tools.</p>
<p>Ship Weight: 4 lbs.</p>
<p><img height=""60"" border=""0"" alt=""MIT"" src=""http://www.cmlsupply.com/mitlogosm.jpg"" /></p>"	"Hardware > Tools > Impact Wrenches & Drivers"	
151-080	"Impact Socket Set Inch Metric 1/2"" 46 pc Value Pak"	http://www.cmlsupply.com/impact-socket-set-inch-metric-1-2-46-pc-value-pak.html	59.99	New	"Michigan Industrial Tools"	151-080	8.0000	http://www.cmlsupply.com/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/1/5/151-080.jpg	"Business & Industrial"	"In Stock"	"<p>46pc Heavy Duty Inch/Millimeter Combo Shallow and Deep Well Sets with Cases.</p>
<p>Specs:</p>
<ul>
    <li>Drop Forged, Heat Treated Carbon Steel Construction</li>
    <li>Opti-Drive Socket Design Contacts Only Flat Surfaces of Fastener Head to Eliminate Rounding Off Corners</li>
    <li>6-Point Socket End with Beveled Nose to Help Guide Socket Onto Fastener</li>
    <li>Durable Black Oxide Finish Resists Corrosion</li>
    <li>Hole on Socket Locks on to Drive Tang, Keeps Socket from Slipping Off or Sticking to Fastener</li>
</ul>
<p>Combo Pack Includes:</p>
<ul>
    <li>11-pc. 1/2&quot; Dr. SAE Deep Well: 3/8, 7/16, 1/2, 9/16, 5/8, 11/16, 3/4, 13/16, 7/8, 15/16, 1&quot;</li>
    <li>10-pc. 1/2&quot; Dr. SAE Shallow Well: 7/16, 1/2, 9/16, 5/8, 11/16, 3/4, 13/16, 7/8, 15/16, 1&quot;</li>
    <li>11-pc. 1/2&quot; Dr. MM Deep Well: 10, 11, 12, 13, 15, 17, 18, 19, 21, 22, 24mm</li>
    <li>10-pc. 1/2&quot; Dr. MM Deep Well: 11, 12, 13, 15, 17, 18, 19, 21, 22, 24mm</li>
    <li>Molded Plastic Case for each set</li>
</ul>
<p>Warranty: MIT Tools have a 30-day satisfaction guarantee directly through us, and a LIFETIME warranty directly through Michigan Industrial Tools.</p>
<p>Ship Weight: 8 lbs. (Note: Shipping is discounted 25% on this item!)</p>
<p><img width=""120"" border=""0"" align=""middle"" alt=""Michigan Industrial Tools"" src=""http://www.cmlsupply.com/mitlogosm.jpg"" /></p>"	"Hardware > Tools > Impact Wrenches & Drivers"	
151-081	"Impact Socket Set Inch Metric 3/8"" 36 pc Value Pak"	http://www.cmlsupply.com/impact-socket-set-inch-metric-3-8-36-pc-value-pak.html	33.99	New	"Michigan Industrial Tools"	151-081	5.0000	http://www.cmlsupply.com/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/1/5/151-081.jpg	"Business & Industrial"	"In Stock"	"<p><strong>Specs:</strong></p>
<ul>
    <li>Drop Forged, Heat Treated Steel Construction</li>
    <li>Opti-Drive Socket Design Contacts Only Flat Surfaces of Fastener Head to Eliminate Rounding Off Corners</li>
    <li>6-Point Socket End with Beveled Nose to Help Guide Socket Onto Fastener</li>
    <li>Durable Black Oxide Finish Resists Corrosion</li>
    <li>Hole on Socket Locks on to Drive Tang, Keeps Socket from Slipping Off or Sticking to Fastener</li>
    <li>Pro Grade Tools meets or Exceeds ANSI spec B107.2</li>
</ul>
<p><strong>Combo Pack Includes:</strong></p>
<ul>
    <li>8-pc. 3/8&quot; Dr. Shallow SAE: 5/16, 3/8, 7/16, 1/2, 9/16, 5/8, 11/16, 3/4&quot;</li>
    <li>8-pc. 3/8&quot; Dr. Deep Well SAE: 3/8, 7/16, 1/2, 9/16, 5/8, 11/16, 3/4, 13/16&quot;</li>
    <li>8-pc. 3/8&quot; Dr. Shallow MM: 10, 11, 12, 13, 15, 17, 18, 19mm</li>
    <li>8-pc. 3/8&quot; Dr. Deep Well MM: 10, 11, 12, 13, 15, 17, 18, 19mm</li>
    <li>Molded Plastic Case for each set</li>
</ul>
<p>Warranty: 30 Days Money back or exchange through us, and LIFETIME Limited Warranty through Michigan Industrial Tools.</p>
<p>Ship Weight: 5 lbs. (Note: Shipping is discounted 25% on this item!)</p>
<p><img height=""60"" border=""0"" alt=""MIT"" src=""http://www.cmlsupply.com/mitlogosm.jpg"" /></p>"	"Hardware > Tools > Impact Wrenches & Drivers"	
155-049	"Air Blow Gun With Rubber Tip and Extensions 5pcs"	http://www.cmlsupply.com/air-blow-gun-with-rubber-tip-and-extensions-5pcs.html	4.99	New	"CML Supply"	155-049	0.5000	http://www.cmlsupply.com/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/1/5/155-049.jpg	"Business & Industrial"	"In Stock"	"<p>Excellent for cleaning and drying in hard-to-reach areas</p>
<p>1/4&quot;npt female fitting</p>
<p>Includes gun and 5 nozzles.</p>
<p>Excellent for general cleaning and drying</p>
<p>Rubber tip protects from scratching or sparking</p>
<p>Tip won't mar delicate molds or fresh paint</p>
<p>Durable chrome-plated zinc</p>
<p>Soft vinyl trigger shield</p>"	"Hardware > Tools > Blowguns"	
155-050	"Air Blow Gun with Rubber Tip"	http://www.cmlsupply.com/air-blow-gun-with-rubber-tip.html	2.99	New	"CML Supply"	155-050	0.3000	http://www.cmlsupply.com/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/1/5/155-050.jpg	"Business & Industrial"	"In Stock"	"<p>Excellent for general cleaning and drying</p>
<p>1/4&quot;npt female fitting</p>
<p>Excellent for general cleaning and drying</p>
<p>Rubber tip maintains seal when clearing fluid lines</p>
<p>Tip won't mar delicate molds or fresh paint</p>
<p>Durable chrome-plated zinc</p>
<p>Soft vinyl trigger shield</p>"	"Hardware > Tools > Blowguns"	
155-051	"Air Blow Gun with 24"" wand"	http://www.cmlsupply.com/air-blow-gun-with-24-wand.html	5.49	New	"CML Supply"	155-051	0.8000	http://www.cmlsupply.com/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/1/5/155-051.jpg	"Business & Industrial"	"In Stock"	"<p>Excellent for cleaning and drying in hard-to-reach areas</p>
<p>1/4&quot;npt female fitting</p>
<p>Excellent for general cleaning and drying</p>
<p>Rubber tip protects from scratching or sparking</p>
<p>Tip won't mar delicate molds or fresh paint</p>
<p>Durable chrome-plated zinc</p>
<p>Soft vinyl trigger shield</p>"	"Hardware > Tools > Blowguns"	837013311119
